HOUR_,OPEN,LOW,HIGH,CLOSE,CO_RATIO,MED_PRICE,AVG_PRICE,VOLUME,SWAPS
2023-01-01 00:00:00.000,1194.996187307,1192.247374039,1196.713955155,1194.382536281,0.9994864829,1194.51042,1194.489561485,5878.486169349,370
2023-01-01 01:00:00.000,1193.188373838,1193.151048336,1195.960420299,1195.861927797,1.002240681,1194.505284124,1194.585605528,3106.065006408,314
2023-01-01 02:00:00.000,1194.631748866,1193.066833108,1196.641097684,1194.876415221,1.000204805,1194.795527999,1194.873138972,4680.494915969,307
2023-01-01 03:00:00.000,1194.380341845,1191.347561933,1194.526551438,1193.083966019,0.9989146038,1192.539904432,1192.681934538,4372.222439989,298
2023-01-01 04:00:00.000,1193.17582077,1189.979785618,1193.773422512,1192.411332675,0.9993592829,1192.113173767,1192.016862899,5564.747044418,281
2023-01-01 05:00:00.000,1192.424629483,1191.298242699,1194.676874198,1193.804685193,1.001157353,1193.113762938,1193.158358238,2701.088772065,240
2023-01-01 06:00:00.000,1192.88700658,1192.711068776,1198.158940951,1194.488903267,1.001342874,1193.938459485,1194.013413517,1100.581205139,213
2023-01-01 07:00:00.000,1193.286105854,1190.980245327,1198.158085167,1194.865816426,1.001323832,1193.915294376,1193.905050491,1737.225348474,196
2023-01-01 08:00:00.000,1194.870474402,1190.959572417,1196.079436831,1194.766347777,0.9999128553,1194.870474402,1194.655541516,970.862966889,163
2023-01-01 09:00:00.000,1193.561815813,1193.30506,1196.372108669,1194.710517321,1.000962415,1194.758986576,1194.696398608,1134.444246176,214
2023-01-01 10:00:00.000,1195.891651243,1190.944311242,1196.70035299,1195.258393333,0.9994704722,1195.628864788,1195.508268849,1219.959626813,201
2023-01-01 11:00:00.000,1196.407908921,1190.375657216,1197.400120964,1196.456876784,1.000040929,1196.126593182,1196.109501754,1452.760725818,215
2023-01-01 12:00:00.000,1197.060110367,1195.101281015,1200.890835524,1198.472818327,1.001180148,1197.010967939,1196.960917939,7811.838556167,261
2023-01-01 13:00:00.000,1197.273413415,1191.306584266,1198.467775267,1193.990783059,0.997258245,1195.786905228,1195.626471641,2518.018317789,256
2023-01-01 14:00:00.000,1194.947026339,1191.431637081,1198.186568475,1194.455566274,0.9995887181,1194.750553083,1194.792152214,885.752103321,241
2023-01-01 15:00:00.000,1193.80103375,1193.727489552,1196.476647713,1195.519227093,1.001439263,1195.015491662,1194.878250495,1597.965366946,273
2023-01-01 16:00:00.000,1196.714078179,1195.140568,1198.562836475,1195.892157856,0.9993131857,1196.797704897,1196.804146494,3504.181424544,297
2023-01-01 17:00:00.000,1197.229028704,1196.545548364,1202.918832751,1199.582600217,1.001965849,1199.817693,1199.543658178,4747.820920713,384
2023-01-01 18:00:00.000,1200.938473385,1200.057871333,1202.590017362,1200.109572203,0.9993097888,1201.304772882,1201.226303429,2563.846922117,318
2023-01-01 19:00:00.000,1200.101317905,1195.101445611,1203.998150581,1201.158438991,1.00088086,1202.212435438,1202.250676654,11078.91061454,404
2023-01-01 20:00:00.000,1201.671249423,1200.450917364,1204.018439012,1201.019211989,0.9994573912,1202.320645422,1202.304983505,3673.776224178,347
2023-01-01 21:00:00.000,1202.042230195,1200.029872459,1204.368864308,1201.753494921,0.9997597961,1201.420745225,1201.416367307,4189.57701516,290
2023-01-01 22:00:00.000,1201.75229925,1197.157867972,1203.25876862,1201.878344904,1.000104885,1202.050163064,1202.019838211,1976.407928161,263
2023-01-01 23:00:00.000,1200.019535704,1198.276750392,1204.378212895,1201.01005463,1.000825419,1200.698949839,1200.733611496,3284.514692507,269
2023-01-02 00:00:00.000,1200.381299626,1196.941158041,1204.318475244,1198.226622193,0.9982050058,1198.585438972,1198.78140863,1866.885815229,267
